price;city;neighborhood;bedrooms;garage
369000.0;curitiba;fanny;2;1
239000.0;são josé dos pinhais;roseira de são sebastião;2;1
3590000.0;curitiba;ecoville;3;5
175000.0;são josé dos pinhais;cidade jardim;2;1
670000.0;curitiba;batel;3;2
2759279.0;curitiba;juvevê;3;3
267520.0;curitiba;centro;1;0
922694.0;curitiba;bigorrilho;3;2
5466300.0;curitiba;cabral;3;3
180000.0;são josé dos pinhais;afonso pena;3;1
292850.0;curitiba;cidade industrial de curitiba;3;1
239900.0;curitiba;novo mundo;;
219900.0;curitiba;novo mundo;;
419900.0;curitiba;capão raso;3;1
219900.0;curitiba;fanny;2;1
219900.0;curitiba;fanny;2;1
158000.0;são josé dos pinhais;italia;2;1
850000.0;curitiba;champagnat;3;4
1939845.51;curitiba;ahú;3;3
250000.0;são josé dos pinhais;afonso pena;2;2
1333453.51;curitiba;mercês;3;2
890685.43;curitiba;mercês;2;2
735460.49;curitiba;ecoville;3;2
239900.0;são josé dos pinhais;afonso pena;3;
220000.0;são josé dos pinhais;sao marcos;2;
280000.0;são josé dos pinhais;cidade jardim;3;1
630000.0;curitiba;centro;3;1
215000.0;são josé dos pinhais;afonso pena;3;1
210000.0;curitiba;novo mundo;2;2
578100.0;são josé dos pinhais;sao pedro;3;
165000.0;são josé dos pinhais;afonso pena;2;
200000.0;curitiba;cajuru;3;
3600000.0;curitiba;ecoville;3;4
1450000.0;curitiba;batel;3;3
440000.0;curitiba;centro;3;1
184900.0;são josé dos pinhais;afonso pena;3;1
240000.0;são josé dos pinhais;jardim monte líbano;3;1
240000.0;curitiba;pinheirinho;2;
175000.0;curitiba;rebouças;1;
130000.0;colombo;são gabriel;2;1
120000.0;curitiba;centro;1;
795000.0;curitiba;batel;3;1
595000.0;são josé dos pinhais;silveira da motta;3;2
1500000.0;curitiba;batel;4;3
189000.0;são josé dos pinhais;sao marcos;2;1
160000.0;são josé dos pinhais;afonso pena;2;1
259000.0;curitiba;tingui;2;1
750000.0;curitiba;batel;3;1
160000.0;curitiba;sítio cercado;2;1
420000.0;são josé dos pinhais;afonso pena;3;2
639900.0;curitiba;água verde;3;1
7414800.0;curitiba;bigorrilho;4;5
3150000.0;curitiba;ecoville;3;4
139000.0;curitiba;sítio cercado;2;1
3140000.0;curitiba;cabral;3;3
368380.24;curitiba;cajuru;3;2
1844625.74;curitiba;ahú;3;3
3249789.0;curitiba;cabral;3;3
797096.02;curitiba;água verde;2;2
1111635.42;curitiba;água verde;3;2
851921.56;curitiba;água verde;2;2
2999900.0;curitiba;cabral;3;3
840006.78;curitiba;água verde;2;3
982318.85;curitiba;água verde;2;2
1238541.79;curitiba;bigorrilho;3;3
303271.33;curitiba;cajuru;2;1
7709370.1;curitiba;ecoville;4;5
5250000.0;curitiba;batel;4;4
1314999.36;curitiba;alto da rua xv;3;2
4536944.96;curitiba;batel;4;4
3609000.0;curitiba;cabral;3;3
2700000.0;curitiba;cabral;3;3
1019063.77;curitiba;alto da rua xv;3;2
649216.74;curitiba;água verde;2;2
1065682.0;curitiba;ecoville;3;2
780000.0;são josé dos pinhais;centro;3;1
180000.0;curitiba;campo comprido;3;1
687400.0;curitiba;água verde;2;2
1426100.0;curitiba;hugo lange;3;3
1378100.0;curitiba;hugo lange;3;3
690000.0;curitiba;vila izabel;3;2
1055700.0;curitiba;centro;3;2
1599000.0;curitiba;batel;3;3
696400.0;curitiba;centro;2;1
1370740.0;curitiba;ahú;3;3
190000.0;araucária;iguaçu;;
3323300.0;curitiba;cabral;3;3
3067900.0;curitiba;cabral;3;3
0.0;curitiba;ecoville;4;5
190000.0;araucária;boqueirão;2;
1190000.0;curitiba;ecoville;3;2
230000.0;curitiba;tingui;3;1
179000.0;curitiba;cristo rei;1;
550000.0;curitiba;cabral;3;1
390000.0;curitiba;vista alegre;2;1
135000.0;são josé dos pinhais;colonia rio grande;2;1
155000.0;são josé dos pinhais;cidade jardim;1;1
165000.0;araucária;iguaçu;2;1
1500000.0;curitiba;batel;4;2
7000000.0;curitiba;ecoville;4;4
460000.0;curitiba;centro;1;1
699000.0;curitiba;batel;2;2
165000.0;são josé dos pinhais;afonso pena;2;1
550000.0;curitiba;água verde;3;1
360000.0;curitiba;portão;3;1
199000.0;são josé dos pinhais;bom jesus;2;1
348000.0;curitiba;bigorrilho;2;1
135000.0;curitiba;campo santana;2;1
239000.0;curitiba;centro;1;1
185900.0;são josé dos pinhais;sao marcos;2;1
199000.0;são josé dos pinhais;sao marcos;2;1
204900.0;são josé dos pinhais;sao marcos;3;1
315000.0;são josé dos pinhais;aristocrata;2;1
159000.0;são josé dos pinhais;parque da fonte;2;1
165000.0;são josé dos pinhais;parque da fonte;2;1
245000.0;araucária;fazenda velha;2;1
189900.0;curitiba;fazendinha;2;1
238000.0;são josé dos pinhais;afonso pena;2;1
477000.0;curitiba;cristo rei;2;1
240606.0;curitiba;boqueirão;2;1
262452.0;curitiba;boqueirão;2;1
254806.0;curitiba;boqueirão;2;1
660000.0;curitiba;água verde;3;1
279000.0;curitiba;neoville;3;1
145000.0;são josé dos pinhais;boneca do iguacu;1;1
195000.0;araucária;capela velha;;
339000.0;pinhais;centro;2;1
501615.02;curitiba;bacacheri;2;1
195000.0;araucária;costeira;2;1
175000.0;araucária;costeira;2;1
420000.0;são josé dos pinhais;tres marias;3;1
1363106.71;curitiba;ahú;3;
220000.0;curitiba;boqueirão;2;1
5777930.0;curitiba;cabral;;
145000.0;curitiba;cidade industrial de curitiba;2;1
135000.0;são josé dos pinhais;ouro fino;2;1
3207688.28;curitiba;mossunguê;;
8036145.0;curitiba;mossunguê;;
10519922.0;curitiba;mossunguê;;
125000.0;fazenda rio grande;nações;2;1
9933573.97;curitiba;cabral;;
8347576.15;curitiba;cabral;;
5059375.84;curitiba;cabral;;
1190000.0;curitiba;batel;4;2
1835000.0;curitiba;batel;4;3
279000.0;curitiba;neoville;3;1
7373500.0;curitiba;bigorrilho;;
650000.0;curitiba;bacacheri;2;3
860000.0;curitiba;centro;2;1
1900000.0;curitiba;ahú;3;3
299000.0;curitiba;hauer;2;1
289000.0;curitiba;hauer;2;1
165000.0;curitiba;santa quitéria;3;1
590000.0;curitiba;vila izabel;3;1
199000.0;curitiba;tingui;2;1
1260000.0;curitiba;água verde;3;2
1423000.0;curitiba;água verde;4;3
1860304.0;curitiba;campo comprido;3;3
1450540.0;curitiba;água verde;3;2
1737000.0;curitiba;água verde;3;3
160000.0;araucária;cachoeira;;
310000.0;curitiba;vila izabel;3;1
3575339.3;curitiba;alto da glória;;
2297004.53;curitiba;alto da glória;;
175000.0;araucária;iguaçu;2;1
185000.0;araucária;iguaçu;;
205000.0;araucária;iguaçu;2;1
225000.0;são josé dos pinhais;santos dumont;2;1
259000.0;araucária;iguaçu;0;1
3160000.0;curitiba;cabral;3;3
2230000.0;curitiba;bigorrilho;3;3
875567.04;curitiba;juvevê;2;1
145000.0;são josé dos pinhais;afonso pena;2;1
200000.0;são josé dos pinhais;águas claras;2;1
550000.0;curitiba;água verde;3;1
295000.0;araucária;iguaçu;3;1
447000.0;curitiba;capão raso;3;1
393000.0;curitiba;capão raso;2;1
130000.0;campo largo;jardim iruama;2;1
130000.0;campo largo;jardim iruama;2;1
250000.0;curitiba;rebouças;2;1
267520.0;curitiba;centro;1;
720000.0;curitiba;mercês;3;2
1780000.0;curitiba;batel;4;3
5688334.0;curitiba;ecoville;3;4
169000.0;são josé dos pinhais;cruzeiro;2;1
185000.0;são josé dos pinhais;cruzeiro;2;1
280000.0;curitiba;novo mundo;3;1
128000.0;curitiba;sítio cercado;2;1
399391.82;curitiba;água verde;2;1
431600.58;curitiba;água verde;3;1
172088.0;araucária;costeira;2;1
160500.0;araucária;costeira;2;1
1350000.0;curitiba;champagnat;6;5
290000.0;são josé dos pinhais;boneca do iguacu;3;1
239000.0;são josé dos pinhais;boneca do iguacu;2;1
165000.0;são josé dos pinhais;afonso pena;;
230000.0;curitiba;jardim botânico;3;1
530000.0;araucária;centro;3;1
175000.0;curitiba;sítio cercado;2;1
